key_resp.keys,key_resp.corr,tilt,hit,miss,false alarm,correct rejection
down,1,-3,,,,1
down,1,4,,,,1
down,1,-5,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
down,1,2,,,,1
down,1,4,,,,1
down,1,-4,,,,1
down,1,3,,,,1
up,1,0,1,,,
down,1,1,,,,1
down,1,-4,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
up,1,0,1,,,
down,1,2,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
down,1,2,,,,1
up,1,0,1,,,
down,1,4,,,,1
up,0,-2,,,1,
up,1,0,1,,,
down,1,4,,,,1
down,1,-5,,,,1
down,1,-5,,,,1
down,1,-3,,,,1
up,1,0,1,,,
up,0,1,,,1,
down,1,3,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,4,,,,1
up,0,2,,,1,
up,1,0,1,,,
up,1,0,1,,,
up,0,1,,,1,
down,1,-4,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,0,2,,,1,
up,1,0,1,,,
up,1,0,1,,,
down,1,2,,,,1
down,1,-5,,,,1
up,1,0,1,,,
up,0,1,,,1,
up,0,1,,,1,
up,1,0,1,,,
down,1,-5,,,,1
up,1,0,1,,,
down,1,3,,,,1
down,1,1,,,,1
up,1,0,1,,,
down,1,3,,,,1
down,1,4,,,,1
down,1,1,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-5,,,,1
up,1,0,1,,,
down,1,1,,,,1
up,1,0,1,,,
up,0,-2,,,1,
up,1,0,1,,,
down,1,-2,,,,1
up,1,0,1,,,
up,0,1,,,1,
down,1,-3,,,,1
up,1,0,1,,,
down,1,2,,,,1
up,1,0,1,,,
down,1,1,,,,1
down,1,4,,,,1
up,1,0,1,,,
up,0,-2,1,,,
down,1,-3,,,,1
down,1,4,,,,1
down,0,0,,1,,
up,1,0,1,,,
down,1,3,,,,1
down,1,-3,,,,1
down,1,3,,,,1
down,0,0,,1,,
up,0,4,,,1,
down,1,-3,,,,1
up,0,1,,,1,
down,1,-4,,,,1
down,1,-2,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,0,2,,,1,
down,1,-3,,,,1
up,1,0,1,,,
up,1,0,1,,,
,,,,,,
,,total,40,2,12,46
,,,,,,
,,prop hit,0.952380952,,z(prop hit),1.66839119
,,prop fa,0.206896552,,z(prop fa),-0.817236821
,,d-prime,2.485628011,,,
,,c,-2.485628011,liberal bias,,
