participant_ID,y-to-x_rt ,x-to-y_rt
1,1.1449649,0.5191452
1,0.9698989,0.4848079
1,0.541138,0.461941
1,0.6170159,0.4443956
1,0.6148083,0.3226657
1,0.6496012,0.3900096
1,0.8671467,0.4869084
1,0.5072145,0.3499643
1,0.5563916,0.4881466
1,0.8415867,0.3954125
1,0.6003403,0.3503371
1,0.7309724,0.4156723
1,0.5563424,0.4415812
1,0.6001437,0.2858889
1,0.7324505,0.4218184
1,0.8402387,0.4222932
1,0.4028817,1.2022033
1,0.4506226,0.49181
1,0.8349316,0.5199897
1,2.0506114,0.5542981
1,1.0607304,0.9404957
1,0.5912275,0.8071843
1,0.9369337,0.3857613
1,0.8079875,0.6363372
1,0.7817833,0.5461292
1,0.7436352,0.370604
1,0.6795415,0.3758902
1,0.8210724,0.36218
1,0.6097918,0.4448873
2,0.8046372,0.4585567
2,0.4865439,0.3914917
2,1.0338204,0.3976115
2,0.736714,0.67442
2,0.458175399,0.4865789
2,0.4227145,0.3418327
2,1.1590858,0.4386211
2,0.6423515,0.365416801
2,0.560004701,0.5921187
2,0.536388201,0.418096
2,0.4923562,0.4369247
2,0.5392274,0.302510899
2,1.2510772,0.3021863
2,0.734393899,0.3950305
2,1.0600631,0.3604277
2,0.6788136,0.392203701
2,0.6816656,0.405310499
2,0.7889386,0.4176721
2,0.5728823,0.4378059
2,0.7877324,0.407032399
2,0.5741864,0.4454584
2,0.875820001,0.3630834
2,0.4556598,0.4015244
2,1.340623501,0.4127934
2,0.4083553,0.3958751
2,0.4958678,0.3425429
2,0.4456049,0.348158
3,0.8575554,0.4700608
3,0.7750046,0.3492097
3,0.8193486,0.3249657
3,0.5662445,0.584733901
3,0.7689775,0.4902414
3,1.161057999,0.4514559
3,0.7764624,0.3633941
3,0.758728,0.388394
3,0.41703,0.3670033
3,0.7845301,0.374481901
3,0.6695338,0.4360721
3,0.697287,0.4461449
3,0.4898801,0.4247452
3,0.4982677,0.451307
3,1.759342699,0.4668845
3,1.3553729,0.5139017
3,0.4706851,0.386326999
3,0.542934,0.3336132
3,0.5673841,0.461253201
3,0.7472705,0.4155843
3,0.501665699,0.3943831
3,0.526529999,0.3729683
3,0.4506518,0.589307199
3,0.5936872,0.4202532
3,0.8807809,0.4128793
3,0.6518456,0.369703
3,0.7447101,0.3986938
3,0.6295413,0.3695673
3,0.557922,0.398828999
3,0.3856018,0.3679482
3,0.783483,0.4060439
3,0.6743259,0.302999
4,0.7869028,0.344063699
4,0.8708362,0.348069
4,0.7156528,0.3410199
4,0.5823433,0.3238709
4,1.0187992,0.3270687
4,0.6092234,0.4087704
4,0.589390799,0.3195094
4,0.8306453,0.3664714
4,0.6506899,0.288793
4,0.4505342,0.297713701
4,0.796143199,0.2883169
4,0.3929241,0.3738191
4,0.856376001,0.3488647
4,0.7436369,0.3393376
4,0.517029299,0.2753385
4,0.784124699,0.2959858
4,0.491068499,0.3088354
4,0.5552209,0.3165593
4,0.5353071,0.5761619
4,0.6455608,0.3365494
4,0.387157801,0.3006851
4,0.7006431,0.4025245
4,1.6005921,0.473709401
4,0.364083,0.3431404
4,0.5059685,0.3485364
4,0.648988199,0.3334621
4,0.5169028,0.2831816
4,0.7620038,0.321543599
4,1.4377028,0.3679211
4,0.5751422,0.3705148
5,0.687656701,0.2836751
5,0.740485201,0.3504657
5,0.4916876,0.3099707
5,0.5587823,0.2983348
5,0.559355699,0.4147006
5,0.5400496,0.3683305
5,0.4726116,0.376519
5,0.4586467,0.3283441
5,0.370145899,0.3251484
5,0.8580909,0.3658616
5,0.6641999,0.3368276
5,0.5764215,0.3114057
5,0.7361548,0.3339849
5,0.6567201,0.421101799
5,0.3877194,0.3919607
5,0.361113099,0.4513828
5,0.6181495,0.34992
5,0.7740238,0.3724626
5,0.7459993,0.3903935
5,0.525230801,0.32808
5,0.433305901,0.367264
5,0.489334,0.3450928
5,0.8199218,0.5953738
5,0.730657,0.3863337
5,0.9791644,0.4304716
5,0.5427066,0.2762664
5,0.3910506,
5,0.4631299,
5,0.6904104,
